uuid,Skills Power,Health,Max Health,Play Time,Money,Job,Groups,Mobs,Name,money,job,mame,skills_power,max_health,health,groups,play_time,name,online
00000000-0000-0000-0009-01fcc07f7502,16,20.0,20.0,,$101.90," - ",,,asunaYuruga,0.0," - ",asunaYuruga,,,,,,asunaYuruga,no
00000000-0000-0000-0009-01feba946055,21,15.440386772155762,20.399999618530273,1h 5m 9s,$220.22," - ",,,StalledBooch723,0.0," - ",StalledBooch723,,,,,,StalledBooch723,no
ce0ed958-09f9-3e16-8baa-ca19b8a52988,25,18.17625617980957,20.0,17h 24m 2s,$124.41," - ",default,13,JaderAdams,0.0," - ",JaderAdams,,,,,,JaderAdams,no
00000000-0000-0000-0009-01fafbf6c040,0,20.0,20.0,9m 57s,$100," - ",,,RafaelaVzi,0.0," - ",RafaelaVzi,,,,,,RafaelaVzi,no
293ec222-792d-3ce3-8a0e-49ffc6197c54,5,20.399999618530273,20.399999618530273,34m 36s,$107.63," - ",,,gaspar,0.0," - ",gaspar,,,,,,gaspar,no
de473743-20d7-3263-9058-0f7440d1289f,84,24.799999237060547,22.799999237060547,2d 22h 44m 42s,$0," - ","default, rank_adventurer",65,MichellZao,0.0," - ",MichellZao,,,,,,MichellZao,no
8bb831e9-3dca-3cec-b3a8-e3199d70bcc2,32,20.065406799316406,20.399999618530273,13h 13m 52s,$231.47," - ","default, rank_rookie",16,miguelterrin,0.0," - ",miguelterrin,,,,,,miguelterrin,no
963f3b22-755b-3a31-a6a7-445e2403b399,46,20.399999618530273,20.399999618530273,20h 48m 34s,$480.68," - ","default, rank_rookie",23,JhonikGames,0.0," - ",JhonikGames,,,,,,JhonikGames,no
00000000-0000-0000-0009-01f0a1400650,13,20.0,20.0,1h 40m 23s,$100," - ",default,7,Travesso01,0.0," - ",Travesso01,,,,,,Travesso01,no
b4845f70-d09a-3421-982b-329c798cab49,32,20.0,20.0,19h 33m 52s,$172.71," - ","default, rank_rookie",16,Nervosa_77,0.0," - ",Nervosa_77,36,20.0,20.0,"default, rank_rookie",84373,Nervosa_77,no
0420413b-3b46-3953-8f72-3f26799cc5d2,22,7.862481117248535,21.200000762939453,17h 28m 16s,$0," - ",,,KJdumonster,0.0," - ",KJdumonster,,,,,,KJdumonster,no
2702ae3f-f1ab-3d04-b811-d623cdf6c363,,18.0,20.0,8m 39s,$100," - ",,,PaTo_oTaKu_Z643,0.0," - ",PaTo_oTaKu_Z643,,,,,,PaTo_oTaKu_Z643,no
9266bfdb-e9ac-35b3-99ab-02f92ade579c,,16.034828186035156,20.0,24m 39s,$103.60," - ",,,tioskull,0.0," - ",tioskull,,,,,,tioskull,no
0977a611-e386-31d3-aa44-49da28a0237f,,15.333332061767578,20.0,11m 34s,$100," - ",,,KiedixS2,0.0," - ",KiedixS2,,,,,,KiedixS2,no
3258398e-c82f-3652-ad4c-6dd31a7adb1d,,20.0,20.0,2m 21s,$100," - ",,,GeleiaPlays,0.0," - ",GeleiaPlays,,,,,,GeleiaPlays,no
6832d513-ef9b-3a30-b8af-9956aed87d22,,20.0,20.0,44m 4s,$100," - ",,,al_player,0.0," - ",al_player,,,,,,al_player,no
849695be-95b9-3af9-9c12-463cb383b994,,20.0,20.0,7m 9s,$100," - ",,,EyKactoo,0.0," - ",EyKactoo,,,,,,EyKactoo,no
5d1df3bb-ca12-3e19-8db8-ff59a491d856,11,20.0,20.0,1h 17m 29s,$100," - ",default,6,J_M2,0.0," - ",J_M2,,,,,,J_M2,no
65a0c1d6-0601-30ef-9b02-1f6e157615f8,17,16.37198257446289,20.0,3h 15m 9s,$35.96," - ",default,9,oVinni,0.0," - ",oVinni,,,,,,oVinni,no
be19761d-6bb8-3a9d-9f6b-8bc71575b554,,17.02985191345215,20.0,38m 55s,$100," - ",,,Joshersss,0.0," - ",Joshersss,,,,,,Joshersss,no
