Player,Deaths,name,online,job,money,skills_power,max_health,health,play_time,groups
GAGAGAsemdedo,,GAGAGAsemdedo,no," - ",103.92399999999999,,,,,
Manfredi0310,,Manfredi0310,no," - ",160.24716999999998,,,,,
wasftttt,,wasftttt,no," - ",108.0,,,,,
LauBianchi,,LauBianchi,no," - ",100.0,,,,,
propray2022,,propray2022,no," - ",100.88199999999999,,,,,
7SeVIIeN,,7SeVIIeN,no," - ",1.6980999999999997E-14,,,,,
JhonikGames,,JhonikGames,no," - ",480.68445062921614,,,,,
arthur21414124,,arthur21414124,no," - ",118.36612,,,,,
luizpb89,,luizpb89,no," - ",100.0,,,,,
lirs,,lirs,no," - ",100.0,,,,,
potato8627,,potato8627,no," - ",100.0,,,,,
Bradock,,Bradock,no," - ",100.0,,,,,
brendorodr,,brendorodr,no," - ",337.46383999999995,,,,,
Julia_Ambrosi,,Julia_Ambrosi,no," - ",106.1785,,,,,
FelipeBan,,FelipeBan,no," - ",109.93816,,,,,
Guilhermekst,,Guilhermekst,no," - ",109.69381,,,,,
crioca,,crioca,no," - ",100.0,,,,,
yRaiiko,,yRaiiko,no," - ",100.0,,,,,
zZkingletZz,,zZkingletZz,no," - ",464.7107,,,,,
asunaYuruga,,asunaYuruga,no," - ",101.90799999999999,,,,,
muriloowwins,,muriloowwins,no," - ",28.44974,,,,,
CDZINx,,CDZINx,no," - ",19.53435123795665,,,,,
Luigisigma,,Luigisigma,no," - ",100.0,,,,,
yD4RKN1NJA,,yD4RKN1NJA,no," - ",107.16958,,,,,
M4ttews,,M4ttews,no," - ",100.0,,,,,
wasunee,,wasunee,no," - ",148.79999999999984,,,,,
Thur73,,Thur73,no," - ",330.0,,,,,
GuilhermeR,,GuilhermeR,no," - ",106.65000000000006,,,,,
EduLauncherbr,,EduLauncherbr,no," - ",476.59574,,,,,
Zunao,,Zunao,no," - ",2014.83367,,,,,
Polar5174,,Polar5174,no," - ",313.49791999999997,,,,,
Carioca,,Carioca,no," - ",149.69853999999998,,,,,
danielapolo11,,danielapolo11,no," - ",136.00170999999997,,,,,
polemiks,,polemiks,no," - ",1.6E-15,,,,,
Inosent_,,Inosent_,no," - ",120.33225999999999,,,,,
yApollo10,,yApollo10,no," - ",100.0,,,,,
J_M2,,J_M2,no," - ",100.0,,,,,
GeleiaPlays,,GeleiaPlays,no," - ",100.0,,,,,
Sidao22,,Sidao22,no," - ",2.6299999999999997E-15,,,,,
alex_f_fernandes,,alex_f_fernandes,no," - ",161.28991,,,,,
servercheck9719,,servercheck9719,no," - ",100.0,,,,,
GusBabiski,,GusBabiski,no," - ",784.77131,,,,,
kronos_kns1,,kronos_kns1,no," - ",5.4E-16,,,,,
SOLITARIO,,SOLITARIO,no," - ",2500.5546299999996,,,,,
pedrinh0br1231,,pedrinh0br1231,no," - ",100.0,,,,,
Pepomaravilhoso,,Pepomaravilhoso,no," - ",274.91049,,,,,
lex232345,,lex232345,no," - ",0.0,,,,,
KingDias,,KingDias,no," - ",105.14899,,,,,
Guizinho5293,,Guizinho5293,no," - ",102.889,,,,,
JOBSONFADOJAGA,,JOBSONFADOJAGA,no," - ",123.84909999999999,,,,,
NaitPlayerGamer,,NaitPlayerGamer,no," - ",105.3999999999997,,,,,
Luisin76523,,Luisin76523,no," - ",513.1945099999999,,,,,
caualelek32,,caualelek32,no," - ",110.03130434782612,,,,,
NARUTIN007BR,,NARUTIN007BR,no," - ",100.0,,,,,
hunter_x,,hunter_x,no," - ",357.22552,,,,,
MiguelAngelo,,MiguelAngelo,no," - ",100.0,,,,,
J_Gominha,,J_Gominha,no," - ",185.60098,,,,,
GUSTAVO89578,,GUSTAVO89578,no," - ",100.0,,,,,
DreamMobile1313,,DreamMobile1313,no," - ",100.0,,,,,
stone13cr4ft,,stone13cr4ft,no," - ",258.15394999999995,,,,,
LemonZinha,,LemonZinha,no," - ",242.16066999999998,,,,,
al_player,,al_player,no," - ",100.0,,,,,
Taupekkj,,Taupekkj,no," - ",100.88199999999999,,,,,
_xXSlowXx_,,_xXSlowXx_,no," - ",165.29999999999967,,,,,
vitindograr,,vitindograr,no," - ",26.641409999999993,,,,,
Dubl1n,,Dubl1n,no," - ",184.896,,,,,
CobradorDeConta,,CobradorDeConta,no," - ",412.73920999999996,,,,,
TororiTV,,TororiTV,no," - ",131.54824,,,,,
nolsup,,nolsup,no," - ",-1852.8970005930655,,,,,
IGMERCHAN,,IGMERCHAN,no," - ",100.0,,,,,
Patita282,10,Patita282,yes,1 - §6Miner,51.000000000000036,23,20.0,20.0,73067,"default, rank_rookie"
Nervosa_77,7,Nervosa_77,yes,14 - §x§9§6§4§B§0§0Builder,186.42279748881398,32,20.0,6.729857444763184,71177,"default, rank_rookie"
Theuxzoficial,43,Theuxzoficial,yes,3 - §6Miner,1345.8916830412734,52,21.0,17.62590980529785,108788,"default, rank_survivor"
ManoBraxys,48,ManoBraxys,yes,8 - §6Miner,500.92450952825425,27,20.0,20.0,59317,"default, rank_rookie, streamer"
Joker282,7,Joker282,yes,20 - §6Miner,5093.79241539825,71,22.399999618530273,20.768667221069336,477171,"default, rank_adventurer, streamer"
Theuxzoficial,43,Theuxzoficial,yes,3 - §6Miner,1357.937398046758,53,21.0,21.0,109612,"default, rank_survivor"
ManoBraxys,50,ManoBraxys,yes,8 - §6Miner,536.3245095282551,28,20.0,20.0,59846,"default, rank_rookie, streamer"
Joker282,7,Joker282,yes,20 - §6Miner,5093.79241539825,71,22.399999618530273,17.879192352294922,477995,"default, rank_adventurer, streamer"
